id;sentiment;text;;
89;0;ce lien ne m'aide en rien à  mon probleme ...;;
90;0;j'ai essaie toujours  déseperement de desimlocker mon téléphone;;
91;0;. @Orange_conseil et si vous investissiez un peu pour une meilleure box et un meilleur lecteur média ? #decu #badservice;;
92;0;Connexion instable, crash, débit vraiment instable. ;;
93;0;quand comptez-vous avoir un réseau fiable ?;;
94;0;"De retour chez soi, la reprise demain mais un VRAIE connexion à  internet :D @Orange_France Faut vraiment faire quelque-chose en #Vendée ;)";;
95;0;C'est bien la bonne ligne, j'essaye d'ouvrir un port en upd/tcp et quand j'accède depuis un adresse loc cela marche mais depuis une adresse externe l'ouverture de port ne se fait pas.;;
96;1;JSUIS PASSEE CHEZ SOSH;;
97;0;SFR : des milliers d'abonnés se retrouvent sans téléphone;;
98;0;Hello ! Je viens de vous envoyer un dm car pb de Data roaming :(;;
99;0;Pouvez-vous m'aider à activer ma nouvelle car sim. J'ai un problème avec mon espace sfr.;;
100;0;Ah quand la 4G sfr a parthenay bordel !!;;
101;0;oui comme dit SFR et c'est pas fini...;;
102;1;bonsoir j'aimerai savoir si c'est long pour passer chez vous pour la Box et recevoir vos services,  je suis chez Orange merci;;
103;1;c'est déjà  réglé. Merci;;
104;0;bon j'ai déjà  viré mon forfait de téléphone pour prendre un bouygues. Et maintenant vous coupez internet à  20h un dimanche 1/2;;
105;0;un dimanche soir pour un non paiement alors que tout est payé depuis une semaine ?! Demain vous dégagez;;
106;0;Le réseau @SFR est dead.;;
107;0;comment on fait si un chat à  manger le fil du décodeur Miami ? :(;;
108;0;Les prix de forfaits mobiles SFR vont augmenter. Voilà  pourquoi.;;
109;1;finalement la box refonctionne correctement à  priori depuis une heure je n'ai plus de souci de co. Merci pour votre réponse;;
110;1;oui j'ai même fait la dernière mise à  jour !;;
111;1; Selon les test par chez moi de toute c'est Orange ou SFR qui domine voila voilaaaaaaa ça va être ça sinon.;;
112;0;bonjour , uniquement la connexion internet , quelques bugs appels mais sûrement liés à  un réseau faible à  certains endroits;;
113;0;je vous déteste .;;
114;1;bonsoir, quand allez vous renouveler les stocks d'iphone 6s svp ?;;
115;0;Il y a quelqu'un ?;;
116;0;J'attends une reponse;;
117;1;La vie change avec orange :D;;
118;0;Sur le site de SFR il n'y a pas un tchat pour parler directement avec un assistant pour m'aider ?;;
119;0;Si ils repondaient sfr aussi c'est un peu de la merde leur service av;;
120;0;Et comme je suis chez #orange...;;
121;0;j'ai passé commande chez vous! vous m'envoyez le mauvais téléphone et me laissez sans solution. Que faites-vous?;;
122;1;Je constate qu'à  l'adresse indiquée sur votre contrat, SFR rénove actuellement son réseau. Les travaux 1/5;;
123;0;SFR j'vais les enculer avec leur réseau de merde la!;;
124;1;vous pouvez éventuellement ressentir des perturbations. A la fin de cette rénovation, SFR offrira un réseau 3/5;;
125;0;bonjour j'ai perdu le code pin de ma carte sim et j'ai pas le code puk, comment je peux faire pour débloquer ma carte  ?;;
126;1;Le très haut débit #freemobile;;
127;0;qui connait des astuces pour boost sa co sfr svp ? rt plz la mienne est vraiment morte la;;
128;1;merci à  vous également;;
129;0;merci Anna , il n'empêche que 6 semaines de désagraments ... C'est important ...;;
130;0;J'ai compris aujourd'hui que le ndem de Orange se limite à  mon quartie je suis foutu;;
131;0;pas en forme votre réseau à  Joeuf, beaucoup d'éclipses depuis 2 jours;;
132;0;Sfr d'ailleurs je les emmerde c'est nul;;
133;0;je cherche l'intérêt de votre lien, concrètement dans ma situation ? Un lien sur Scarlett Johansson m'aurait été plus utile;;
134;0;J'ai un gros problème de connexion internet depuis des mois j'ai besoin de votre aide merci de venir en DM s'il vous plait !;;
135;1;Hey @bouyguestelecom, ça coûte combien en boutique de remplacer la coque arrière d'un @SonyXperiaFR Z2 ? #Noël;;
136;0;Sfr la pute de vos mère;;
137;1;Les abonnés de @bouyguestelecom vous profitez de la data en illimité ?;;
138;0;Je reçois les chaines de @canalplus sur ma Xbox, elles sont de très mauvaise qualité depuis 10j. Incident sur le réseau ?;;
139;0;La boulette du jeudi : quand SFR fait la pub de Free Mobile;;
140;0;bonsoir, je n'ai plus d'accès internet(via box fibre) depuis 16h00;;
141;1;Bonsoir, j'ai du partir de chez moi pour quelques jours,  je vous recontact au plus vite.;;
142;1;Merci de vos réponses rapides !;;
143;1;Hello ! Petite question : ;;
144;1;Combien de % le territoire est il couvert en 4G ? :);;
145;0;Bon, @bouyguestelecom, on peut avoir de la visibilité sur la résolution de vos problèmes réseaux qui durent depuis TROP longtemps?;;
146;0;Bonsoir SFR je n'ai plus de réseau depuis 5 jours ... ;;
147;0;j'suis à  orange et ma co est horrible;;
148;0;ça fait 4 jours je vous dit j'ai des problèmes de connexion vous vous en battez les couilles j'payes 50€ j'ai même pas une bonne co;;
149;0;Bande passante @SFR_SAV  à  #ploeren #56 inadmissible #sfr #fail comment #télétravailler avec un débit pareille ?;;
150;0;Vous arretez de nous entuber quand avec votre wifi de merde ? Je crois je vais aller chez @LALIGNEDEFREE;;
151;0;super l'envoi d1 nouveau décodeur sans connectiques (heureusement j'ai vérifié avt mon départ en vacances) et sans disque dur...;;
152;0;sinon vous vous occupez de ma remise?;;
153;0;Le réseau SFR galère à  mort !;;
154;0;j'ai un probleme;;
155;0;???? Sa fait deux jour que j atten votre réponse;;
156;0;dis pourquoi on trouve pas @netflix sur la box de mes grands-parents? Je la trouve où?;;
157;0;bonsoir, je n'ai plus d'accès internet depuis quelques jours pouvons nous aller en DM ?;;
158;0;Concernant les portabilités prévus le 26/12/15 qu'en est-il ????;;
159;0;s'apparente à  du vol purement et simplement @orange @Elysee @PresidenceMali;;
160;1;Bonjour Marie, oui j'ai bien noté le RDV, en attendant j'ai pris un Web Trotter :) On a 4 ou 8 Go de disponible avec lui ?;;
161;0;"déjà  fait et je tombe sur des robots qui me demande de répondre ""oui"" ou ""non"" après ça raccroche";;
162;0;"si c'est a cause de @orange ca ne surpend pas meme si en ce moment c quasiment ""the system is busy. Try later""";;
163;0;j'ai besoin de vous !!! Ma connection c'est plus possible;;
164;0;#mobile Re : Résiliation mobile chez SFR pour aller a Sosh;;
165;0;en fait je l'aurais fait moi même mais t'as une puce nfc collée sur la coque :-(;;
166;0;toutes les chaînes et je ne capte pas la HD;;
167;0;Je n'ai pas de filtres et les branchements sont ok;;
168;0;la loose ducoup c est soit sa te coûte une blinde en mag soit sa te coûte une blinde;;
169;1;a quand l'enregistrement a distance sur l'appli TV d'Orange pour #WindowsPhone ?;;
170;1;Vous pouvez m'offrir une connexion , je sais pas ou une nouvelle maison avec la fibre :'D;;
171;0;Orange Cameroun, c'est juste pas possible. Pas possible.;;
172;0;Ce n'est pas ce que je voulais savoir;;
173;1;Moi aussi je suis paché chez Sosh;;
174;1;Bonsoir je vais resilier chez vous pour aller chez Free, c'est quoi la procédure?;;
175;0;Installation #fibre #sfr ... ça donne pas envie....;;
176;0;je souhaiterais commander une nouvelle carte mais votre site ne fonctionne pas;;
177;0;Bonjour, ma ligne mobile rencontre un problème d'activation. Pouvez-vous m'aider. Numéro de commande : 2099700642;;
178;1;Je veux juste savoir jusqu'a quel montant je peu acheter un mobile en utilisant le paiement sur facture;;
179;0;Fibre en panne à  Paris 17 acces internet coupé depuis 16h! Merci  @bouyguestelecom;;
180;1;C'est a dire que l'achat du mobile sera facturer sur la prochaine facture;;
181;0;"je sais pas vous mais maintenant quand ya qq qui me dit ""c'est pas fini"" je peux pas m'empecher de penser a sfr";;
182;0;Reseau Orange je suppose.;;
183;0;je me trouve ds l'impossibilité de vs apporter une réponse exacte. Je vs invite à  consulter les forums de SFR : 2/3;;
184;1;Oui le reste des service fonctionnent bien.;;
185;1;"bonsoir ; envoyé en DM cdlmt";;
186;0;Wsh le reseau de sfr y'a une limite en s'moment y'a tjr indisponible;;
187;0;La wifi chez Bouygues Télécom, c'est de la grosse merde ! #BouyguesTelecom;;
188;1;Découvrez toutes les applications du cloud Pro d'Orange ! ;;
189;0;avec moins que ça j'arrive a tenir un stream, et la j'y arrive pas, cbi1, bravo Orange, les meilleurs. #Kappa;;
190;0;Sinon @BouyguesTelecom : je suis en mesure d'affirmer que votre WiFi public c'est de la grosse daube. Je m'attendais à  mieux sérieusement :|;;
191;0;. @BouyguesTelecom (entre les multiples déconnexion, la limite de deux heures, la page de login presque inatteignable, et purée 50ko/s ._.);;
192;0;la semaine pro si Orange me fait une offre sinon je me barre chez sfr je pense mais j'aime pas trop;;
193;0;SFR de merde;;
194;0;Wifi qui saute toutes les 4/sec, ou internet qui freeze,  impossible d avoir une connexion stable .... Que faire ?;;
195;1;Des avis/conseils/retours sur le réseau #mobile #SFR @sfr ? Merci !;;
196;0;voilà  j ai testé en branchant le décodeur TV directement sur la box par cable et tjrs le même problème. Donc sa vient pas des CPL;;
197;0;Bon #SFR j'aimerais bien recevoir ma box on m'a dis que ça allais pas être long ca fais trois semaines que j'attends.;;
198;0;Je vais passer de @bouyguestelecom a @LALIGNEDEFREE car leur connexion en carton commence ça  me saoulé;;
199;0;J'espère que vous pouvez réglé ça vite, ça commence a être très très long la quand même ..;;
200;0;Re-Bonsoir, tjs le même problème à Nogent sur Marne, aucune connexion. Pourtant je constate que le wifi des voisins est toujours là;;
201;0;Mon seul msg de la journée c orange pour me dire que j'avais consommé 80% dma 3G c pitoyable;;
202;0;Vous êtes sérieux? Vous avez supprimer le paiement sur facture? Si c'est vraiment vrai, je résilie;;
203;0;Orange de véritables escrocs, pour rien j'ai plus messages pourtant je suis sur tigre et Pas encore la fin du mois #nrv;;
204;0;Heu @bouyguestelecom, c'est normal ? Depuis que j'ai reset ma box, j'ai un débit et un ping absolument désastreux.;;
205;0;incroyable que le premier réseau français (europeen?) soit aussi arriéré pour la gestion client en agence...;;
206;0;Panne globale @bouyguestelecom sur #Paris17 merci la technologie! #Remboursement;;
207;1;#NMDVchallenge dites JE SUIS PASSER CHER SOSH;;
208;0;SFR c'est de la merde;;
209;1;Oui je vous y autorise !;;
210;1;Oui la prise téléphonique est reliée à  la box !;;
211;1;D'accord merci!;;
212;0;la pub sosh comment elle est chiante puis avec toutes les couleurs la tu fait une crise d'épilepsie;;
213;0;bjr @SFR_SAV, répondez en dm bande d'impolis. je paye pour que la connexion se perde toutes les minutes???? je suis qui moi?? répondez.;;
214;1;jtai dit d'aller chz orange;;
215;0;Depuis cette après midi, je n'ai plus internet. La wifi fonctionne mais impossible d'aller sur internet;;
216;1;ça fonctionne, j'ai 20 de ping, 5.88 mbps en descendant et 0.67 mbps en montant;;
217;0;cc @Orange_France vous payez les frais de résiliation??;;
218;1;Merci vous aussi! Je vous recontacterai si le problème persiste merci a vous;;
219;1;B&YOU : @bouyguestelecom casse les prix de ses forfaits 4G;;
220;1;j'reçois encore des sms de bouygues alors que je suis passé chez sfr mdr;;
221;0;"le service SFR m'a informé que 25% des portabilités n'ont pas été effectué suite à  une ""surchauffe"".";;
222;0;D'accord, et le problème pourra être réglé quand ? ..;;
223;1;Il y a la #faussefibre de Numerciable/SFR et la vraie #fibre optique d'Orange ! Soyez au courant de l'arnaque !;;
224;0;Re, nous nous sommes quittés il y a pas longtemps mais j'ai déjà  eu une coupure mais elle était moins longue que d'habitude;;
225;0;Bjr, comment fait-on pour retirer le C. parental qui me bloque mon internet mobile de tps en tps et que j'ai jamais demandé ? Crdlt;;
226;0;Comment à  casser les couilles @SFR. Même pas 3 jours qu'on a la box et elle est bug déjà...;;
227;0;Obliger de la rebooter et à  cause de ça, on passe de presque 4 mégas à  3,5 mégas de débit ... @SFR;;
228;0;j'ai répondu par DM mais aucune nouvelles;;
229;0;Coucou @SFR le harcèlement téléphonique, c'est mal, m'voyez ? (et pas vendeur :p);;
230;1;Elle doit faire la demande d' une migration vers un forfait sosh au service client probablement ?;;
231;0;ptn sfr ils m'ont couper ma ligne ces gros fdp ptn;;
232;1;ça marche :);;
233;1;alors vous pouvez tester votre ligne avec le lien communiqué ci-dessus et vérifier vos branchements ^VM;;
234;0;Donc je ne peut que me contenter de ces bugs. Merci Céline. #2;;
235;0;J'ai encore la 4G non décompte c'est normal ?;;
236;1;Bonjour @bouyguestelecom, votre offre routeur 4g backup c'est uniquement en support d'une ligne xdsl de chez vous?;;
237;0;"Bonjour, je reviens vers vous car le technicien ""n'a pas pu me contacter"" et il n'est pas possible de le rappeler (num. masqué).1/2";;
238;0;La limite de débit en 4G si dépassement de quotas. C'est une blague. Merci @SFR_SAV;;
239;0;Autant tout couper.;;
240;1;Orange : Une livebox 4K pour 2016;;
241;1;merci;;
242;0;Le blem c'est que quand un appel est fini mon tel ne rebascule pas en 4G et autour de moi on est plusieurs dans le meme cas;;
243;0;Exact! Je me suis connecté sur son compte Orange et j'ai modifié son forfait... Donc pas de parrainage pour moi;;
244;0;non merci de votre aide. Desolé de ne pas vous avoir redonner de nouvelles.;;
245;0;Presque 400 de Ping et 2/10 du débit, mais tout est normal en regardant sur le site et en fessant vos test...;;
246;1;Je te comprends je suis chez sfr aussi;;
247;1;Bjr ! Avez-vous encore des soucis ? Si oui, @SFR_SAV est dispo pour vérifier votre ligne ensemble. Cam;;
248;1;oui. Ras de ce côté.;;
249;0;autant abonné Red, je suis supposé recontacter SFR par internet (délicat avec mon débit actuel). Comment le faire venir aujourd'hui?;;
250;1;c'était juste pour savoir si il y a différentes offres avec différents débits mini ou pas. Merci ! :);;
251;0;Bonjour,  j'ai un problème, la clé de desimlockage que vous m'avez envoyé ne marche pas.;;
252;0;Pourriez vous voir le problème svp?;;
253;1;Merci;;
254;0;C'est la même avec @Orange, 400 de ping de 2/10 du débit mais tout est normal pour eux;;
255;0;:( tu demanderas a Lulu j'ai fait la même mdrrrrr, merci @orange;;
256;1;ok c'est bien ce que je pensais. parce que chez Sosh j'ai du 200 mini, mais chez Orange ça propose du 500 mini;;
257;1;merci !;;
258;0;oui non mais mon problème c'est que SEULE la ps4 se déco, le reste j'ai aucun soucis, c'est ça qui est étrange;;
259;1;Devis Orange fait : pour 10€ de moins par mois qu'SFR, je devrais avoir du réseau et du matos de meilleure qualité en adsl comme en GSM :);;
260;0;bonjour mon nom est Nyemb Segue Guichard, j'ai passé la commande d'une carte sim red sfr depuis le debut du moi de decembre et je n'ai toujours pas reçu ma commande.;;
261;1;#Samsung Samsung Galaxy S6 : Fin de la vente flash SFR à minuit ! - Edcom;;
262;0;Mais non mes chouchous :(;;
263;0;En plus je n'ai plus de connexion depuis ce midi. De l'aide svp? :);;
264;0;plus de net depuis + d1  heure appel hotline réponse retour normale maximum 7jours c du fdg aucune explication donnée;;
265;0;La poste me demande de voir avec vous, que faire ? Mon adresse est  :;;
266;1;pouvez vous venir en message privé s'il vous plaît ?;;
267;0;Merci de me répondre.;;
268;1;C'est bon :);;
269;1;Essayez de contacter #Free #FreeMobile #Iliad #XavierNiel pour obtenir #Internet en #Afrique pour pas cher.;;
270;1;augmenter mon débit internet;;
271;0;non car mes voisin son cher orange il sont à  400 envrion ( j'ai pas brutforce leur MDP );;
272;0;"ça veut dire quoi : ""Impossible d'envoyer le message après plusieurs tentatives"" !";;
273;0;La promo SFR RED fait des clients furieux via @FreeiPhonefr;;
274;0;Je veux fuir Orange, dis moi comment je fais ? @mtnc_care;;
275;1;Je vais chez sfr;;
276;0;est ce que quelque chose va enfin être fait? Merci.;;
277;0;Et sfr ne capte pas là-bas donc ça coupera :(;;
278;0;HEEEEEEEEEEEEEE @bouyguestelecom !!!!!!! VOUS M'EXPLIQUEZ POURQUOI J'AI PLUS INTERNET ???;;
279;1;"Tu as fait une bonne action c'est déjà  ça ;-))))";;
280;1;voilà;;
281;0;RNC 7058 : Qui a chassé sur mon secteur bande d'enfoirés? #rncmobile #freemobile;;
282;1;2/2 et nous a demander de tester notre box en magasin... les boutiques SFR peuvent elles le faire ?;;
283;1;Bonjour, merci de votre retour.;;
284;0;message envoyé en privé sera rendu définitivement en public avant mon dernier tweet. Une lettre a été rédiger expliquant les prblm;;
285;0;bonjour, j'attends un appel du service client devait me rappeler il y à bientôt une heure, ils ont mon numéro.;;
286;1;"Bjr, faites-vous des packs d'abo ""familiaux"" pour par exemple 2 lignes mobiles + ADSL svp ?";;
287;0;Sur le site SFR c'est marqué que j'px aller le retirer dans 2h maintenant la dame au phone elle dit 48h tshhp jsuis yomb;;
288;1;Oui gardez-le si ça peut aider. Là j'ai un code erreur C00 mais j'ai aussi eu le code C51. Internet marche très bien.;;
289;1;Orange Excellence;;
290;0;c'est bien le réseau + wifi? Je vois pas mal de gens se plaindre du coup j'hésite à passer de chez orange à sfr;;
291;1;Jvais chez SFR :)))));;
292;1;un nouveau dm vous a était envoyer;;
293;0;vous pensez que cela puisse venir éventuellement des ports ethernet de la box ?;;
294;0;bah déjà  cest mieux que free après orange je sais pas j'y ai jamais été mais d'apres mon pere ca passe mais cest pas top qd meme;;
295;1;D'accord merci, et ma box est très bien située elle est a 1 mètre de ma console, sans murs ni autres inconvénients.;;
296;1;Orange Tunisie: lancement d'une solution de sécurité managée pour les entreprises;;
297;1;Côte d'Ivoire: Noël, Orange distribue des cadeaux à 6300 enfants - Koaci #CoteIvoire;;
298;0;C'est bien de racheter @SFR mais encore faut-il que vous puissiez dialoguer entre vous ! Je résous les trucs à votre place @SAV_Numericable;;
299;1;c est bon j ai eu quelqu un par facebook pour rétablir ma ligne.merci;;
300;0;car moi je veux aller chez vous mais je viens calculer et j'arrive a 120 € par mois ça fait mal xD;;
301;0;bonjour, vendredi dernier j'ai commandé un iPhone et j'ai un soucis avec le haut parleur qui grésille, dois-je voir avec vous 1/2;;
302;0;Je vais envoyer un pigeon voyageur à Orange, je pense ça ira plus vite parce que là  ..........;;
303;0;c'est de la merde je trouve surtout en upload... D'ici 6mois j'ai la fibre (normalement hein cc @Orange_France );;
304;0;notamment avec ma xbox la co est pas terrible enfait, mais ça c'peut que ça soit pas de votre faute;;
305;1;ou avec le service après vente d'Apple, merci d'avance pour vos informations;;
306;1;Bonjour ! Vous pouvez souscrire à l'offre Femto en Espace SFR Cam;;
307;0;Combien de fois j'ai appeler sfr pour résoudre mes problèmes de ping, rien n'a changer depuis, maintenant c'est encore pire;;
308;1;bah oui mais c'est quand même pas mal de pouvoir dll un truc de 20 Go en 40 min ^^';;
309;0;Oui c'est la seule page inaccessible. J'obtiens ceci:;;
310;0;C'est tout l'objet de mon tweet : voir si SFR va faire la fine bouche et réclamer un courrier ou s'exécuter gentiment.;;
311;1;Bonjour est ce j'ai droit de résilier forfait et mobile dans les 7 jours suivant mon achat?;;
312;1;bonjour, je viens de recevoir la puce et elle vient d'être activée avec un numéro provisoire.;;
313;0;non quand même pas c'est jouable dans 40min pas la totalité du jeu;;
314;1;Sosh vous offre 1 mois sur votre forfait mobile !  #ParrainageSosh ;;
315;1;avez reçu le numéro série ?;;
316;1;ah oui c'est vrai il y a ce truc maintenant;;
317;0;ba justement non ! Pourquoi ? Parce que dans mon foyer nous avons des tel de fonctions Et donc passer par le gestionaire de compte...;;
318;0;J'attends chez Orange pour avoir des infos sur la fibre ... Je vais finir les révisions à 0h je crois.;;
319;0;impossible de tel du côté de Valenciennes depuis quelques temps à cause des rénovations. Vous avez prévu des dédommagement?;;
320;1;Il suffit d'un seul téléphone connecter à ma box pour avoir 300 de ping c'est génial ! :D;;
321;0;C'est impossible les appels se coupent au bout de 2h à 3h à cause des opérateurs comme orange ect #Lrt;;
322;1;le problème est t-il résolu ?;;
323;0;c est ce que je viens de faire remarquer à un conseiller sosh sur le echat de la page commande...;;
324;0;terminons l'année comme elle a commencé : en ne fonctionnant pas;;
325;1;"ps : booster le wifi des liveboxes, quelle bonne idée ;)";;
326;0;Sonnerie sfr ptdddr flemme de changer;;
327;1;j'espère bien pour le moment sa passe bien;;
328;1;Si je change d'opérateur et que je passe chez vous, pensez vous faire mieux que sfr ?;;
329;1;bonjour, je suis abonné sosh mobile, j'ai déménagé et aimerais prendre la fibre et combiner ces deux abonnements est-ce possible ?;;
330;0;pour une fois que c'est pas Orange...;;
331;0;je souhaite accéder à mon espace client avec app iOS, mais mes identifiants ne sont pas reconnus, ils marchent sur le Web;;
332;0;Vous répondez sur Twitter, de temps en temps ?;;
333;0;oui, le mandat SEPA pour autoriser le prélèvement. J'ai déménagé depuis, donc celui que j'ai reçu n'est plus valide...;;
334;1;c'est le bon numéro. Je suis chez moi. Donc on peut me contacter tout de suite;;
335;1;je suis client Entreprises;;
